frase,ideologia
lo más importante es sacarle provecho a las oportunidades que me dan y ellos jefes de la escudería son los que toman las decisiones.,no_politico
erradicar los actos de corrupción en la asignación del gasto público.,derecha
se requiere con urgencia establecer programas de capacitación y producción laboral,derecha
"manejar las finanzas públicas de manera responsable, eficaz, eficiente y transparente, evitando duplicidades y estableciendo con claridad y justificación los rubros en los que será aplicado el gasto público.",izquierda
"mientras que el saqueo ilegal ha puesto en riesgo alrededor de 230 especies de plantas como las orquídeas y espadañas, la biopiratería ha causado la extinción de 20 de las especies florísticas en nuestro país.",derecha
promover que las reformas a la hacienda pública y el federalismo se formulen también con perspectiva de género.,derecha
"la ampliación de programas de capacitación ambiental más allá de las pocas ubicaciones en donde se ofrecen hoy día, es un paso necesario en el desarrollo de la toma de conciencia ambiental de méxico.",derecha
"tenemos un plan integral de reconstrucción de las zonas devastadas, que los legisladores de morena presentaron en la cámara de diputados.",izquierda
la inmensa mayoría de los mexicanos y las mexicanas piensan que la política del gobierno debe cambiar de rumbo para resolver los principales problemas nacionales.,derecha
"existen también la erosión eólica y la degradación física, las cuales afectan al 9.5 y 6 de la superficie nacional, respectivamente.",derecha
"a pesar de sus importantes logros, este sistema de política social acumuló serios problemas, que lo llevaron a una crisis definitiva.",izquierda
"proteger de la polución las aguas de litorales, lagos, lagunas y ríos que afectan la actividad pesquera",derecha
"para acabar de entender este fenómeno a cabalidad, es necesario tomar en cuenta los contextos sociales alrededor de la vida de estos jóvenes y menores infractores.",izquierda
"a partir del desarrollo sustentable del sector formal de la economía,",derecha
"impulsar que el inegllevante registros sobre la problemática específica de las mujeres, de tal suerte que el gobierno tenga elementos para actuar en consecuencia.",derecha
"4.1.2.4 para lograr la conciliación de la vida familiar y laboral se fomentarán programas de apoyo a las madres y padres trabajadores, entre ellos los de licencia por maternidad y paternidad,",derecha
"objetivo 6: poder judicial autónomo, imparcial y expedito",izquierda
línea de acción 4 integrar sistemas tecnológicos para detectar posibles conductas delictivas que se originan desde el interior de los centros penitenciarios.,izquierda
"nuestro país debe sumar esfuerzos con la comunidad internacional para cumplir con las metas de la cumbre de johannesburgo que propicien el desarrollo sustentable, al cual se le debe continuar concediendo una importancia sin precedentes.",derecha
"y generador de desigualdad social,",izquierda
construyendo nuevas relaciones productivas y sociales entre los tres órdenes de gobierno y el sector rural.,izquierda
"una política de seguridad humana que reconozca que las amenazas a la seguridad de las personas surgen no solo de situaciones ligadas a la violencia y la delincuencia,",derecha
"línea de acción 6 crear una comisión que se encargue de vigilar el cumplimiento de metas y compromisos adquiridos por las candidatas y candidatos del partido, que sean favorecidos por el voto popular.",izquierda
"proteger las selvas intactas, apoyar los derechos de tierras indígenas y restaurar áreas deforestadas son los caminos más claros a seguir, dicen los investigadores.",no_politico
"las emisiones de gei generadas por el consumo de combustibles fósiles 93.1 y las fugitivas 6.9 , disminuyeron 5.2 de 2011 a 2012, al situarse en 490.42 teragramos de co2 equivalente tg co2 eq..",derecha
"aparentemente, christian nodal habría dejado de pagarlo.",no_politico
"y que debe incluir la participación activa de todos los actores del sistema, incluyendo maestros, padres de familia, estudiantes, sectores productivos y los tres órdenes de gobierno.",derecha
"todo apuntaba a que el sol entraría en una fase prolongada de baja actividad, declaró jamie jasinski, del laboratorio de propulsión a chorro de la nasa en el sur de california, quien dirigió el estudio.",no_politico
opuesta a la subordinación de nuestro país al modelo económico privatizador y depredador impuesto por el neoliberalismo;,derecha
se debe acelerar el proceso de profesionalización de los cuerpos policíacos ya que es la única manera de mejorar su situación salarial.,derecha
"sin embargo, en el partido revolucionario institucional reconocemos que estos no pueden ser impedimentos, ni mucho menos excusas.",izquierda
para ello es importante que las reglas básicas de convivencia social sean una prioridad en el ejercicio gubernamental.,izquierda
"cada colonia de coral está formada por miles de diminutos pólipos, que trabajan juntos para formar la estructura más grande.",no_politico
"a sus 25 años, se ha convertido en un símbolo de empoderamiento femenino en el mundo de los concursos de belleza.",no_politico
línea de acción 4 optimizar la expansión de la infraestructura eléctrica,izquierda
adecuada aplicación del sistema de justicia penal administración y procuración de justicia y transformación del modelo de seguridad pública con participación ciudadana,izquierda
"pero como naming, sólo están el torneo de golf de los cabos y el st.",no_politico
en el pvem proponemos dar valor a los empaques y envases para incentivar su reciclaje.,izquierda
"se usará igualmente para llevar un seguimiento instantáneo de cada uno de los procesos de los acusados en conexión directa, evitando que haya contacto o intermediación en el manejo de los expedientes judiciales.",izquierda
promover y fortalecer los métodos sostenibles de producción.,izquierda
"la protección del medio ambiente es una responsabilidad compartida entre naciones y, en esa medida, sólo puede ser atendida de manera efectiva a nivel global.",derecha
"diseñar e implantar un sistema nacional de pensiones, con esquemas de retiro financieramente viables y que permita a los trabajadores cambiar de trabajo sin perder sus aportaciones yo semanas cotizadas para efectos de su retiro.",izquierda
"con la participación y vigilancia de la sociedad,",izquierda
"debemos enfrentarlas nuevas condiciones sin olvidar que el compromiso básico del prles con el pueblo de méxico, con sus necesidades y aspiraciones.",derecha
"4.2.9.1.promover una integración verdadera de las instituciones de salud que elimine la actual fragmentación de la atención a la salud, constituyendo un fondo único para la salud.",izquierda
objetivo 2: construcción de ciudadanía y cultura de la legalidad,izquierda
"en esta época de lluvias, el lugar está increíble: las cascadas alcanzan su máximo esplendor y los guías del parque siempre están dispuestos a ayudarte y acompañarte con un servicio impecable.",no_politico
en cuanto a la protección de la salud consideramos que debe tener una cobertura universal y una mayor calidad de sus servicios.,derecha
privilegiando a pequeños y medianos productores,derecha
establezca requisitos profesionales para quienes aspiren a dirigirlas,derecha
"investigamos sobre leyendas urbanas, historias de edificios embrujados y esa relación tan nuestra con la muerte y lo desconocido, añadió el director.",no_politico
1.2.10.un sistema de salud de calidad y seguridad social universal30,derecha
"organizar, estimular y financiar con recursos públicos el desarrollo de tecnología; dar orientación ala reconversión de los cultivos.",izquierda
objetivo 8: mayor competencia y mejores servicios en telecomunicaciones,derecha
"lo cual ha derivado en la falta de coordinación entre las dependencias y se ha propiciado una creciente impunidad,",derecha
"cuarenta millones de mexicanos que viven con grandes carencias deben constituir el punto de referencia para toda tarea política, porque nada justifica postergar para ellos la posibilidad cierta y real de una vida digna.",izquierda
objetivo 9: innovación tecnológica para el desarrollo,derecha
"estamos abiertos al debate de las ideas que contribuyan al perfeccionamiento del modelo de nación que los mexicanos nos hemos dado históricamente,",derecha
"ello implica desde luego condiciones laborales y una remuneración más atractivas, mejores mecanismos de reclutamiento, promoción y permanencia, así como beneficios y prestaciones en función del desempeño y la trayectoria.",derecha
cabe destacar que es la primera tabasqueña en entrar al concurso.,no_politico
"la transparencia, la rendición de cuentas",izquierda
"afianzar la comunicación, las relaciones económicas y la concertación política con canadá frente al reto que significa la renegociación del tlcan.",izquierda
línea de acción 5 establecer un servicio social remunerado dirigido para la atención de comunidades rurales y pueblos originarios.,izquierda
"y la definición de políticas públicas que impulsen instrumentos para la transparencia y la rendición de cuentas,",izquierda
"promoveremos una política pública intensa para estimular la matrícula en carreras con más vinculación a las necesidades del sector productivo, poniendo énfasis en las ingenierías.",derecha
"línea de acción 4 vincular los programas de estudio a las actividades que mayor demanda de trabajo están generando como, por ejemplo, el sector energético.",izquierda
la transparencia y rendición de cuentas son principios básicos del estado de derecho y el régimen democrático.,izquierda
por ello conviene evaluar formas de una mejor coordinación entre las instituciones y los grupos sociales en esta materia.,izquierda
estas medidas asegurarían que méxico pudiera enfrentar presiones de gasto en el futuro.,derecha
"debemos abatir la pobreza extrema, para que nadie nazca en esta condición.",derecha
promover en el desarrollo económico esquemas de competitividad que potencien cambios en la productividad nacional.,derecha
su emergencia aún no ha terminado y la reconstrucción completa llevará años.,izquierda
"el empresario tailandés la acusó de no publicar contenido promocional sobre el país anfitrión, y lo que comenzó como una observación terminó en insultos públicos.",no_politico
"sin embargo, el esfuerzo no ha sido suficiente y sabemos que los servicios de salud no alcanzan a cubrir aún a toda la población.",derecha
"fortalecer la capacidad de gestión del consejo nacional de población, considerando la naturaleza multisectorial de la política en la materia, para un mejor desarrollo de sus acciones,",derecha
porque se asientan en zonas urbanas o rurales de alto riesgo sin los servicios o infraestructura indispensables para su protección ante los siniestros.,derecha
reformaremos el artículo 123 constitucional para prohibir expresamente las labores peligrosas e insalubres a quienes no cumplan los 18 años.,derecha
acciones contra la delincuencia,derecha
el estilo de bere es vanguardista.,no_politico
"la política forestal debe expresarse en políticas diferenciadas territorialmente, de acuerdo con las condiciones ambientales y sociales de cada región.",izquierda
"4.2.9.8.3.fomentarse la investigación clínica en el país, mejorando los mecanismos de colaboración entre los diferentes actores, tanto públicos como privados.",izquierda
"el crecimiento económico en las últimas décadas ha generado progreso, pero el patrón de consumo energético sustentado en combustibles fósiles también ha provocado cambios en los ciclos naturales y en los ecosistemas.",derecha
"establecer políticas públicas que promuevan la calidad de vida digna y saludable para las personas adultas mayores, con un enfoque de derechos humanos.",izquierda
"pues cada año se deforestan 600 mil hectáreas de bosques, se destruye el 2.5 de los manglares y se incrementa la emisión de gases de efecto invernadero.",derecha
4.2.11.7.eliminar la discrecionalidad y la falta de transparencia corrupción en las licitaciones de las obras de infraestructura de transporte.,izquierda
"el otro, atrasado, público, carente de recursos para ofrecer un salario digno a los maestros, carente de instalaciones apropiadas, de grupos numéricamente adecuados y de herramientas de trabajo actualizadas.",izquierda
una motivación fuerte para mí es la cara de la gente en los shows.,no_politico
"el volumen de petróleo enviado a refinerías al cierre de 2012 fue 1,211.0 mbd, lo que representó un incremento de 3.3 respecto al año anterior.",derecha
"la epidemiológica, demanda mayores recursos financieros, físicos, de infraestructura y humanos para atender el incremento absoluto y relativo de enfermedades crónicodegenerativas, cardiovasculares, diabetes y cáncer",derecha
y 484 mil 962 adultos de 65 años o más.,derecha
"además, hubo un prudente manejo de la economía.",izquierda
establecer estándares claros de buen gobierno que incluyan la medición de sus políticas y acciones a través de indicadores y metas que esté obligado a cumplir.,izquierda
"el sector pesquero y acuícola de méxico contribuye en forma significativa a la economía del país en términos de empleo, oferta y seguridad alimentaria, ingreso de divisas, y desarrollo regionalcostero y oceánico.",derecha
"desafortunadamente y después de un amplio debate con los diversos grupos políticos del congreso de la unión, la iniciativa de pena de muerte no fue aprobada,",derecha
"la independencia, la reforma, la revolución mexicana, son movimientos revolucionarios pero, además, culturales, civilizadores, por el conjunto de ideas políticas y éticas que postularon e incorporaron al modo de vida de los mexicanos.",izquierda
este modelo mucho menos le sirve a las personas para exigir a la autoridad inmediata tome las decisiones pertinentes que mejoren sus condiciones de vida en los lugares donde viven.,derecha
estrategia 1 consolidar la cobertura educativa en el nivel básico,izquierda
"una gran proporción de los migrantes y las drogas que cruzan la frontera norte provienen de centroamérica, por lo que la política de control fronterizo debe implementarse de manera consistente en ambos cruces",izquierda
"sus calles empedradas y casas antiguas, nos transportan hasta esa época.",no_politico
dar claridad y certeza a la determinación y cálculo de los impuestos mediante la adecuación del marco normativo,derecha
"línea de acción 6 destinar una mayor inversión a infraestructura, equipamiento y tareas de inteligencia en el combate a la delincuencia.",derecha
"perú depende de brasil, y brasil depende de sus vecinos.",no_politico
"que genere empleos y mejore la educación, la salud y la infraestructura productiva tal como lo están haciendo todos los países afectados por la crisis financiera internacional.",derecha
hacer de la planificación familiar uno de los ejes rectores de crecimiento del país.,derecha
"todo parecía estar bajo control, hasta que un descuido lo cambió todo.",no_politico
línea de acción 8 promover los casos de éxitos de mujeres empresarias que han sido capaces de desarrollar sus empresas para inspirar a otras.,derecha
en su mayoría gozan de impunidad y de la protección gubernamental.,izquierda
"y alcanzar mayores niveles de competitividad,",derecha
contra las políticas xenofóbicas,derecha
"lo anterior requiere una reducción considerable en las emisiones de gases de efecto invernadero gei, al tiempo que se identifique y reduzca la vulnerabilidad ante el cambio climático.",derecha
"y haciendo un especial énfasis en los grupos en estado de vulnerabilidad,",izquierda
línea de acción 2 promover que la negociación del acuerdo transpacífico de integración económica tpp sea congruente con los intereses de crecimiento y desarrollo económico de méxico.,derecha
se fortalezca el mercado interno,derecha
el reporte de competitividad del foro económico mundial señala a la corrupción como el principal inhibidor de la inversión en méxico.,derecha
"salvó nuestra temporada con su guante, salvó nuestra temporada con su bate, dijo el jardinero de los dodgers, kike hernández, sobre rojas.",no_politico
"como nación, hemos tenido avances importantes que debemos preservar.",derecha
"son muchos y muy lamentables los ejemplos de deterioro que se vislumbran a todo lo largo y ancho del planeta, y en méxico, en especial, enfrentamos algunos que nos ponen en estado de emergencia.",izquierda
"diseñar mecanismos que incentiven la inversión privada, en investigación en salud ambiental, enfocada a conocer los riesgos asociados a la contaminación atmosférica, la causalidad de enfermedades derivadas de la exposición a contaminantes atmosféricos.",izquierda
"promover programas de mantenimiento y rescate de espacios públicos como una herramienta para generar desarrollo, convivencia y recreación;",derecha
también ha incursionado como actor de doblaje.tiene varios especiales de comedia en netflix: sosafado 2017 y maleducado 2019.,no_politico
además de exigir que se respeten sus derechos establecidos en las leyes e instrumentos internacionales.,izquierda
impulsar una planeación democrática dirigida a implantar políticas y programas eficaces que permitan enfrentar y revertir las tendencias negativas observadas en la disponibilidad per cápita de agua.,derecha
"línea de acción 6 fortalecer las atribuciones del instituto federal de acceso a la información y protección de datos y de los institutos locales de acceso a la información,",izquierda
"la verdad es que ha pasado bastante tiempo, así que me siento bien, dijo norris en la conferencia post carrera.",no_politico
"3la pacificación del país, con seguridad, respeto a los derechos humanos y justicia para todas las personas.",derecha
aún es necesario estrechar los lazos entre ciudadanos y autoridades sin perder de vista el objetivo ulterior: hacer de méxico un país más seguro y libre de violencia.,derecha
"si se colocara mendoza, su provincia más vinícola, sobre el mapa de españa, se extendería desde burgos hasta granada.",no_politico
"una visión global de la educación ambiental significa un gran reto y esfuerzo, se trata de compaginar en un mismo campo dos aspectos que frecuentemente aparecen separados.",izquierda
"los hallazgos más recientes indican que las orcas podrían haber desarrollado una técnica especial para inducir este estado de inmovilidad, lo que reduce el riesgo de ser mordidas por los tiburones.",no_politico
"de eso se trata este caminar, aseguró el presidente de la lnbp, sergio ganem, en conferencia previa a las finales 2025.",no_politico
"no te pierdas: maribel guardia: así inició su carrera a los 19 años en su paso por miss universo, fotos quién es fátima bosch, modelo mexicana que causó polémica en miss universo?",no_politico
1.2.14.derecho a las tecnologías de la información y la comunicación.,derecha
"reforzar las políticas públicas que promuevan la equidad, que incorpore permanentemente a las mujeres en la vida económica, política y social del país, para lograr igualdad y justicia entre los géneros,",izquierda
"como actriz de doblaje, cantó en la película soy frankelda.",no_politico
"y por la baja cobertura de profesores bilingües, dando por consecuencia que estos grupos, sean los que tienen el menor nivel de resultados en las pruebas enlace.",izquierda
línea de acción 2 generar programas educativos atractivos a los jóvenes y vinculados con las demandas de desarrollo económico y social del país que permitan la inserción laboral con pertinencia técnica desde el nivel bachillerato.,derecha
"fuente: coordinaciones territoriales de seguridad pública y procuración de justicia del gobierno del distrito federal, abril de 2002.",derecha
"los derechos humanos son atributos inherentes a la persona que le permiten vivir y desarrollarse en condiciones de dignidad,",izquierda
crea un organismo para conducir la transición energética aprovechando crecientemente las fuentes de energías renovables;,derecha
la democratización de la economía implica generar desde el movimiento económico las condiciones para garantizar el bienestar de la gente.,derecha
la arqueología practicada con la pasión que él había puesto había arrollado su sensibilidad como una topadora de mil toneladas.,no_politico
estrategia 1 consolidar la enseñanza y práctica del deporte en todos los niveles educativos,izquierda
"en el proceso de la transición, la planificación familiar ha sido un factor estratégico para frenar la explosión demográfica.",derecha
"con estas palabras, bosch dejó claro que no piensa abandonar el certamen, y que seguirá representando a méxico con orgullo.",no_politico
"las cuales han subsistido en los últimos años con financiamiento de proveedores,",derecha
línea de acción 7 difundir la imagen de méxico en el mundo mostrando avances en el desarrollo nacional.,derecha
4.2.9.3.fortalecer la figura del médico general.,izquierda
"4.2.8.1.incrementar los presupuestos públicos destinados a la investigación científica y el desarrollo tecnológico, incluyendo programas de divulgación científica y técnica, dándoles continuidad a lo largo del tiempo.",derecha
2.2.2.garantizar total transparencia total en el manejo de los recursos49,izquierda
"definir e instrumentar un modelo de carrera policial en los tres órdenes de gobierno, con los recursos financieros y humanos para su capacitación, equipamiento e infraestructura.",izquierda
"fomentar y apoyar proyectos de mecanismos de desarrollo limpio, captura y secuestro de carbón, para disminuir nuestras emisiones y aumentar nuestros bonos de carbón.",derecha
una nueva polémica se cierne en relación con miss universo.,no_politico
"sin embargo, lejos de diluir su identidad, el pueblo ha sabido integrar la diversidad como parte de su encanto.",no_politico
"ante la crisis de inseguridad que atraviesa el país, proponemos:",derecha
